Wall time,Step,Value
1741198579.4420965,40000,0.025562534108757973
1741198806.6949842,80000,0.02564704790711403
1741199032.5831785,120000,0.024829760193824768
1741199262.305194,160000,0.022109998390078545
1741199486.37404,200000,0.025790804997086525
1741199707.764719,240000,0.022391043603420258
1741199930.1783965,280000,0.023489417508244514
1741200156.292261,320000,0.025084741413593292
1741200384.4122252,360000,0.02353292889893055
1741200618.258823,400000,0.021901657804846764
1741200846.3716109,440000,0.022851530462503433
1741201076.095421,480000,0.02488262951374054
1741201301.2216406,520000,0.025639843195676804
1741201532.5346413,560000,0.026416167616844177
1741201766.293159,600000,0.02509475313127041
1741202000.0190027,640000,0.025336695834994316
1741202249.4449062,680000,0.021945131942629814
1741202502.9934363,720000,0.022198371589183807
1741202736.031176,760000,0.024073481559753418
1741203043.6820164,800000,0.022678250446915627
1741203381.5673857,840000,0.025647038593888283
1741203717.5409117,880000,0.020922714844346046
1741204063.0542622,920000,0.021976811811327934
1741204403.95238,960000,0.027221804484725
1741204750.5563602,1000000,0.024577854201197624
1741205097.0945308,1040000,0.02520294114947319
1741205561.1652713,1080000,0.030300913378596306
1741205900.5021045,1120000,0.025104638189077377
1741206240.779934,1160000,0.025014329701662064
1741206585.9567647,1200000,0.024721384048461914
1741206928.5141723,1240000,0.023664770647883415
1741207272.3851316,1280000,0.02373332716524601
1741207619.5000975,1320000,0.02574549801647663
1741207957.3086135,1360000,0.022358881309628487
1741208295.5150414,1400000,0.023442953824996948
1741208641.861589,1440000,0.024349205195903778
1741208989.8007956,1480000,0.024736536666750908
1741209336.6865504,1520000,0.025641927495598793
1741209681.356359,1560000,0.024529041722416878
1741210027.5265048,1600000,0.02239377237856388
1741210374.9822505,1640000,0.02162109687924385
1741210724.7990763,1680000,0.026715833693742752
1741211075.2240076,1720000,0.02352590672671795
1741211430.5363724,1760000,0.02265775017440319
1741211772.401633,1800000,0.026317749172449112
1741212118.0657248,1840000,0.026653384789824486
1741212469.8478482,1880000,0.024930167943239212
1741212828.676988,1920000,0.023420045152306557
1741213182.117104,1960000,0.022089004516601562
1741213536.4962494,2000000,0.025327445939183235
1741213889.4714031,2040000,0.02527100406587124
1741214239.0909424,2080000,0.023770647123456
1741214592.3356113,2120000,0.022811248898506165
1741214947.07844,2160000,0.025848114863038063
1741215299.9747705,2200000,0.024703187867999077
1741215649.1396885,2240000,0.024256199598312378
1741215992.4923918,2280000,0.023213015869259834
1741216340.3179512,2320000,0.024339957162737846
1741216689.04861,2360000,0.02415578067302704
1741217047.0723577,2400000,0.02376391924917698
1741217398.8021595,2440000,0.020375102758407593
1741217752.6665723,2480000,0.02477053552865982
1741218105.613065,2520000,0.026799572631716728
1741218461.8570163,2560000,0.02311648428440094
1741218811.933539,2600000,0.02646023966372013
1741219169.0383284,2640000,0.026979010552167892
1741219530.0299969,2680000,0.024915870279073715
1741219874.659472,2720000,0.025282196700572968
1741220230.0065439,2760000,0.024810750037431717
1741220590.9135613,2800000,0.027470124885439873
1741220946.4194674,2840000,0.026241494342684746
1741221303.8886018,2880000,0.022533154115080833
1741221653.6581435,2920000,0.023757461458444595
1741222008.4701736,2960000,0.024776894599199295
1741222357.359572,3000000,0.022259561344981194
1741222706.761197,3040000,0.023732855916023254
1741223050.0878365,3080000,0.02825571969151497
1741223398.4291244,3120000,0.021180763840675354
1741223741.0618076,3160000,0.025948965921998024
